id,description,best_suggested_hs_code,best_suggested_stat_code,best_suggested_tco_link,other_codes,total_time_seconds,reasoning
43,"external hard drive 2TB 2.5 inch usb 3.0",84717000,74,,"84717000/51; 84717000/52",54.804996967315674,"The product is an external hard drive, a storage unit for an automatic data processing (ADP) machine. As per the Harmonized System, Chapter 84 covers ADP machines and their units. Specifically, Chapter Note 6(C) to Chapter 84 directs that storage units are to be classified in heading 8471. Subheading 8471.70 is designated for ""Storage units"". The most appropriate classification is 84717000 with statistical code 74, which specifically identifies ""Hard drives"". Alternative statistical codes are provided based on the physical weight of the item, as a 2.5-inch drive typically weighs less than 500g. All associated tariff rates are ""Free"", and no tariff concession orders apply."
44,"ssd sata iii 1TB 2.5 inch",85235100,50,,"84717000/74; 84717000/51",55.738534927368164,"The product is a Solid-State Drive (SSD), a form of non-volatile electronic storage. Tariff heading 8523 covers various media for recording, and its subheading 8523.51 specifically identifies ""Solid-state non-volatile storage devices"". This description is more precise than the alternative in Chapter 84. Chapter Note 6(a) to Chapter 85 provides a clear definition for these devices, which encompasses the subject SSD. Therefore, 8523.51.00 is the most appropriate classification."
45,"nvme m2 2280 ssd 2TB gen4",85235100,50,,"84717000/51; 84718000/35",47.46107077598572,"The product is a solid-state drive (SSD), which is a form of semiconductor-based non-volatile storage.

Heading 8523 specifically covers 'Discs, tapes, solid-state non-volatile storage devices...'. Subheading 8523.51 provides for 'Solid-state non-volatile storage devices'. This is the most specific description for an SSD. Chapter Note 6(a) to Chapter 85 defines these devices in a way that aligns with the technical characteristics of an NVMe M.2 SSD.

An alternative is heading 8471, which covers 'Automatic data processing machines and units thereof'. Subheading 8471.70 is for 'Storage units'. While an SSD is a storage unit for a computer, the description in 8523 is more specific to the nature of the article itself. The statistical code 51 under 8471.70 for goods weighing not more than 500g is a plausible alternative classification.

A second alternative is 8471.80 for 'Other units of automatic data processing machines', which serves as a residual category for computer units not specified elsewhere.

Based on the principle of classifying goods under the most specific heading, 8523.51.00 is the best fit."
46,"microSD card 256GB u3 a2",85235100,50,,"85235900/95; 85238000/31",33.575515031814575,"The product is a microSD card, which is a form of flash memory card. Chapter 85, Note 6(a) defines “Solid-state non-volatile storage devices” as items like “flash memory cards”. This makes heading 8523, which covers media for recording, the correct chapter. Subheading 8523.51 specifically covers “Solid-state non-volatile storage devices”. The other suggested codes are broader “other” categories within the same heading."
47,"wireless router dual band ac1200",85176200,90,,"85176200/61; 85176990/95",37.692723989486694,"The user's product is a wireless router. Based on the tariff schedule, such devices are classified under heading 8517, which covers ""apparatus for communication in a wired or wireless network (such as a local or wide area network)"". The most specific subheading is 8517.62 for ""Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus"". A wireless router is a quintessential routing apparatus. As it is not more specifically described by other statistical codes under this subheading (like modems or multiplexors), it falls into the residual category ""Other"", making 85176200 with statistical code 90 the most appropriate classification. Alternative classifications are provided within the same subheading and a less likely, broader ""Other"" category."
48,"ethernet cable cat6 5m blue",85444211,03,,"85444219/02; 85444219/11",49.04203009605408,"The product is an ethernet cable, which is an insulated electric conductor fitted with connectors. Its primary function is for telecommunications, operating at a voltage not exceeding 80V.

Following the structure of Chapter 85, heading 8544 covers insulated wire and cable.
- The product is not co-axial (8544.20) or for vehicles (8544.30).
- It is classified under 8544.42 as it is for a voltage not exceeding 1,000V and is fitted with connectors.
- Within 8544.42, it falls under the sub-category for voltage not exceeding 80V.
- The most specific description is 8544.42.11, which covers goods 'of a kind used for telecommunications'. This accurately describes a Cat 6 ethernet cable.
- Alternative classifications exist under 8544.42.19 (Other) such as 'Wires for electronic equipment' or 'Plastic insulated', but the telecommunications use is more specific."
49,"hdmi cable 2m 4k 60hz",85444219,02,,"85444211/03; 85444219/11",43.307368993759155,"The product is an insulated electrical cable (HDMI) fitted with connectors, designed for a voltage not exceeding 80V. This falls under heading 8544 for insulated electric conductors. The most appropriate subheading is 8544.42, which is for conductors fitted with connectors for a voltage not exceeding 1,000V. Within this, 8544.42.19 is selected as the cable is for a voltage not exceeding 80V and its primary use is not telecommunications in the context of the tariff, but rather as a hook-up wire for electronic and TV equipment. The statistical code 02 specifically covers 'Wires for electronic equipment (including radio and T.V. hook up wires)', which accurately describes an HDMI cable. An alternative is 8544.42.11 if the cable's function is considered 'telecommunications'. Another alternative, 8544.42.19 with stat code 11, describes the physical characteristic of the cable being plastic insulated. The lookup data indicates no Tariff Concession Orders apply to these classifications."
50,"monitor 27 inch 144hz ips 2560x1440",85285200,24,,"85285200/23; 85285200/25",24.993321895599365,"The product is a colour flat-panel computer monitor. It is classified under heading 8528, which covers monitors not incorporating television reception apparatus. As it is not a cathode-ray tube (CRT) monitor, it falls under subheading 8528.5x for 'Other monitors'. Specifically, subheading 8528.52 is appropriate as the monitor is 'capable of directly connecting to and designed for use with an automatic data processing machine of 8471'. The statistical code is determined by weight. A typical 27-inch monitor weighs between 5 kg and 10 kg, making '24' the most likely statistical code. Alternative codes are provided for monitors that may fall outside this weight range. No Tariff Concession Orders were found to be applicable."
51,"tablet 10 inch 4GB ram 64GB storage",84713000,31,,"84713000/35; 84714100/22",33.55305004119873,"The product is a tablet, which is a portable automatic data processing (ADP) machine. According to Chapter Note 6(A) to Chapter 84, an ADP machine is capable of storing programs, being freely programmed, performing arithmetic, and executing programs. A tablet meets this definition. Heading 8471 covers ADP machines. Specifically, subheading 8471.30 applies to 'Portable automatic data processing machines, weighing not more than 10 kg, consisting of at least a central processing unit, a keyboard and a display'. A tablet fits this description, with the touchscreen serving as both the display and input unit (keyboard). A standard 10-inch tablet typically weighs under 1 kg, making the statistical code 31 ('Weighing not more than 1 kg') the most appropriate choice."
52,"laptop backpack water resistant 15.6 inch grey",42029290,41,,"42029290/40; 42021290/47",54.344033002853394,"The product is a laptop backpack, which is a type of rucksack explicitly mentioned in the heading for 4202. The description 'water resistant' indicates an outer surface of textile materials or plastics, making subheading 4202.92 the most appropriate choice. Within this subheading, 4202.92.90 covers 'Other' articles that are not golf bags, gun cases or pencil cases. The statistical code is determined by the backpack's volume; 41 is selected for a capacity of less than 30 litres, which is standard for a 15.6-inch laptop backpack. An alternative is provided under the same HS code for a larger capacity (stat code 40), and another alternative (4202.12.90) considers the backpack as a 'school satchel or similar container'."
53,"notebook ruled A5 200 pages",00000000,00,,"00000000/00; 00000000/00",26.115811109542847,"Classification failed after 3 attempts: ModelHTTPError"
54,"gel pens 0.5mm black 12 pack",96081000,47,,"96081000/45; 96083090/70",67.19741606712341,"The product is a pack of gel pens. Gel pens are a type of ball point pen that uses a liquid-based gel ink. Heading 9608 covers various types of pens. The most appropriate classification is under 9608.10.00 for ball point pens. Assuming the pens are disposable, the correct statistical code is 47 for 'Disposable, liquid ink'. If the pens were refillable, the statistical code would be 45. An alternative, though less specific, classification is 9608.30.90 for 'Other' pens, which has a 5% duty rate but also has a potential Tariff Concession Order available."
55,"printer ink cartridge black xl model 245",32151100,08,,"84439900/75; 32159000/10",54.71156597137451,"The final classification depends on whether the ink cartridge incorporates a print head. Based on the provided description, the cartridge is treated as a simple reservoir for ink, making the ink itself the essential character of the product. Therefore, it is classified under heading 3215 for printing ink. Specifically, as it is black ink, 3215.11.00 is the most appropriate classification. If the cartridge were to include a print head, it would be classified as a part of a printer under heading 8443.99.00, which is provided as an alternative. Another alternative is provided under 3215.90.00 for other types of inks."
56,"laser toner cartridge compatible 12a",84439900,75,,"37079000/25; 84439190/69",114.618577003479,"The product is a laser toner cartridge, which is a composite good consisting of a plastic cartridge, toner powder, and typically a photoreceptive drum. The key classification decision is whether to classify it as a chemical preparation (the toner) or as a part of the printer it is used with.

According to Section XVI, Note 2, parts suitable for use solely or principally with a particular machine are to be classified with the machines of that kind. A toner cartridge is designed exclusively for use in laser printers, which are classified under heading 8443. As the cartridge model specified (12a) is an all-in-one unit that includes the photoreceptive drum, it functions as a critical part of the printing apparatus itself, not merely a refill.

Therefore, the most appropriate classification is under 8443.99.00 as a part or accessory for the printers of heading 8443. The statistical code 75 for 'Other' is selected as no specific code for toner cartridges exists.

Alternative classification 3707.90.00 considers the toner's function as a chemical preparation for a 'photographic' process, as defined in Chapter 37 Note 2, which includes forming images via radiation on photosensitive surfaces. This is less appropriate as it ignores the mechanical and structural function of the cartridge and drum unit."
57,"desk lamp led adjustable 12W clamp",94052100,01,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=94052100,"94052900/02; 94054200/70",37.8301146030426,"The product is an electric desk lamp, which is specifically provided for in heading 9405. The subheading 9405.21 is the most appropriate as the lamp is described as using an LED light source. The best classification is therefore 9405.21.00 with statistical code 01, which covers 'Electric table, desk, bedside or floor-standing luminaires: Designed for use solely with light-emitting diode (LED) light sources'. An alternative is 9405.29.00 (stat code 02) if the lamp is not solely for use with LEDs. A second alternative, 9405.42.00 (stat code 70), would apply if the item was not considered a desk lamp, but another type of luminaire designed for LEDs."
58,"office chair ergonomic mesh lumbar support",94013900,12,,"94017100/08; 94018000/10",38.91021394729614,"The product is an office chair. Chapter 94 of the tariff covers furniture, with heading 9401 specifically for seats. The description 'ergonomic office chair' strongly implies it is a swivel seat with variable height adjustment. Subheading 9401.39.00 covers such chairs not made of wood, which aligns with the 'mesh' description. The alternatives 9401.71.00 (upholstered metal frame seats) and 9401.80.00 (other seats) are less specific but represent other plausible classifications within the same heading. No Schedule 4 concessions apply."
59,"filing cabinet metal 3 drawer lockable",94031000,40,,"94032000/19; 94037000/52",52.00806784629822,"The product is a metal filing cabinet. According to Note 2 of Chapter 94, furniture designed to be placed on the floor is classified within headings 9401 to 9403. As a filing cabinet is a piece of office furniture, heading 9403, which covers 'Other furniture and parts thereof', is appropriate. Subheading 9403.10.00 specifically applies to 'Metal furniture of a kind used in offices', making it the most precise classification for this item. An alternative is provided under 'Other metal furniture' (9403.20.00) if the item is not intended for office use. A second alternative for furniture of plastics (9403.70.00) is included in case the material description is not precise."
60,"bookshelf wooden 4 tier walnut",94036000,42,,"94033000/41; 94036000/27",39.4204318523407,"The product is a wooden bookshelf. Chapter 94 of the tariff covers furniture. Specifically, heading 9403 is for 'Other furniture and parts thereof'. Chapter Note 2(a) for Chapter 94 clarifies that 'bookcases' and 'other shelved furniture' are to be classified in heading 9403. Since the bookshelf is made of wood and is not specified as being for offices, kitchens, or bedrooms, it falls under the subheading 9403.60 as 'Other wooden furniture'. The statistical code 42 is for 'Other' furniture within this category, which is the most fitting description. An alternative is 9403.30.00 if the item is specifically for office use. Another alternative is statistical code 27 under 9403.60.00 if the bookshelf is considered a wall unit."
61,"sofa throw blanket fleece 150x200cm grey",63014000,12,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=63014000,"63019090/09; 63013090/05",41.059504985809326,"The product is a finished textile article, specifically a blanket. Chapter 63 covers made-up textile articles, and heading 6301 is designated for ""Blankets and travelling rugs"". The specified material is ""fleece,"" which is a synthetic fibre. Consequently, the most accurate classification is 6301.40.00 for ""Blankets (other than electric blankets) and travelling rugs, of synthetic fibres"". Alternative classifications are provided under 6301.90.90 if the fibre is other than synthetic, or 6301.30.90 if it were predominantly cotton. The tool results indicate that Tariff Concession Orders may be available for these classifications. No specific Schedule 4 by-law concessions apply to this type of good."
62,"duvet cover cotton queen size white",63023100,04,,"63022100/04; 63023100/01",49.94498300552368,"The user's product is a queen-size, white, cotton duvet cover.

1.  **Product Analysis**: The key features are its function as bed linen, specifically a duvet cover, and its material, cotton.

2.  **Tariff Chapter Selection**: Chapter 63 covers 'Other made up textile articles'. Within this, heading 6302 is for 'Bed linen, table linen, toilet linen and kitchen linen'. This is the most appropriate heading.

3.  **Code Shortlisting**: The tariff lookup for 6302 provides several options.
    *   `6302.31.00` covers 'Other bed linen: Of cotton'. As the item is a white (not printed) cotton duvet cover, this is the correct 6-digit code.
    *   Within this code, the statistical code `04` is for '.Quiltcovers'.

4.  **Final Recommendation**:
    *   **Best Suggestion**: `63023100` with statistical code `04` is the most precise classification.
    *   **Alternative 1**: `63022100` with statistical code `04`. This would apply if the duvet cover were printed.
    *   **Alternative 2**: `63023100` with statistical code `01`. This would be correct if the duvet cover were imported as part of a set (e.g., with pillowcases).

No Schedule 4 concessions apply to this type of product. No Tariff Concession Orders were identified for the recommended codes."
63,"pillow memory foam king size 2 pack",94049000,11,,"94049000/40; 94042100/05",46.4135799407959,"The product is a memory foam pillow. Chapter 94 covers bedding and similar furnishings. Heading 9404 specifically includes ""articles of bedding and similar furnishing (for example... pillows) ... internally fitted with any material or of cellular rubber or plastics"". This accurately describes a memory foam pillow. Within this heading, the subheading 9404.90 is for 'Other' articles not being mattresses or sleeping bags. The statistical code 11 for 'Cushions' is the most appropriate description for a pillow. An alternative is the statistical code 40 for 'Other' within the same HS code. A less likely alternative is 94042100 for mattresses of cellular plastic, as a pillow is not a mattress. No tariff concession orders were found to be applicable."
64,"mattress topper 5cm gel foam queen",94049000,40,,"94042100/05; 94049000/11",36.796234130859375,"The product is a mattress topper made of gel foam, which is a form of cellular plastic. It is classified under heading 9404 as an ""article of bedding and similar furnishing"". The most appropriate classification is 9404.90.00 with statistical code 40. A mattress topper is not a complete mattress, which would be classified under 9404.21.00, but is considered an ""other"" article of bedding. Within the subheading 9404.90.00, statistical code 40 (Other) is more specific than statistical code 11 (Cushions). An alternative classification is 9404.21.00 (mattresses of cellular plastics) or 9404.90.00 with statistical code 11 (cushions)."
65,"area rug shaggy 160x230cm ivory",57033900,92,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=57033900,"57032900/84; 57031000/10",42.97128915786743,"The item is an area rug, a textile floor covering of Chapter 57. The term 'shaggy' describes a carpet with a long pile, typically made through a tufting process. Therefore, heading 57.03 'Carpets and other textile floor coverings, tufted' is the most appropriate. The material was not specified. The best suggestion, 5703.39.00 with statistical code 92, is for tufted rugs of man-made textile materials other than nylon (like polyester or polypropylene), a common material for shaggy rugs. A Tariff Concession Order may apply to this classification. The alternatives account for other possible materials: 5703.29.00 (nylon) and 5703.10.00 (wool), with the statistical code for the latter reflecting the rug's area of 3.68 square metres."
66,"curtains blackout 2 panels 140x240cm navy",63039210,68,,"63039110/56; 63031210/27",26.932313919067383,"The user's product is classified as curtains. Heading 6303 specifically covers 'Curtains (including drapes)'. The key differentiators are the method of manufacture (knitted/crocheted vs. woven) and the material. Blackout curtains are typically woven and made from synthetic fibres to achieve their light-blocking properties. Therefore, the best fit is 6303.92.10, which covers woven curtains of synthetic fibres. Alternative classifications are provided for curtains made of cotton (63039110) or those that might be knitted rather than woven (63031210). No tariff concession orders were found to apply."
67,"blender countertop 1200W glass jar 1.8L",85094000,42,,"85098090/21; 85094000/43",48.68424582481384,"The product is a countertop blender, which is an electro-mechanical domestic appliance with a self-contained electric motor. In accordance with Chapter Note 4(a) to Chapter 85, 'food grinders and mixers' of any weight are classified under heading 85.09. A blender is a type of food mixer. The most appropriate 6-digit subheading is 8509.40, which specifically covers 'Food grinders and mixers; fruit or vegetable juice extractors'. Within this subheading, the statistical code 42 for 'Mixers' is the best fit. While a separate statistical code for 'Blenders' exists under 8509.80.90, the heading for 8509.40 is more specific to the function of the appliance, making it the preferred classification. No tariff concession orders were found for this classification."
68,"toaster 2 slice stainless steel",85167200,05,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=85167200,"85166000/53; 85167900/38",34.66126108169556,"The product is a 2-slice stainless steel toaster. Its primary function as an electro-thermic domestic appliance places it in Chapter 85, specifically heading 8516. The most accurate classification is under subheading 8516.72.00, which explicitly covers 'Toasters'. The corresponding statistical code is 05. The availability of a Tariff Concession Order (TCO) is noted for this classification. Alternative considerations include 8516.60.00 for 'grillers and roasters' and 8516.79.00 for 'Other' electro-thermic appliances, though 'Toasters' is the more specific and appropriate heading."
69,"kettle electric 1.7L 2200W",85167900,35,,"85161000/23; 85167900/38",27.66847276687622,"The user's product is an electric kettle. Based on the tariff schedule, Chapter 85 covers electrical machinery and equipment. Heading 8516 is for electro-thermic appliances of a kind used for domestic purposes. A kettle falls under this category. The most specific classification is found in subheading 8516.79.00, which covers 'Other' electro-thermic appliances. Within this subheading, statistical code 35 is explicitly for 'Kettles'. This provides the most precise classification. An alternative is 8516.10.00 for 'water heaters', which is functionally correct but less specific. A second alternative is the 'Other' category under 8516.79.00 (statistical code 38), which is a less precise catch-all."
70,"rice cooker 5 cup nonstick",85167900,37,,"85166000/54; 85167900/38",43.2673122882843,"The product is a domestic electro-thermic appliance used for cooking rice. Based on the tariff schedule, Chapter 85 covers electrical machinery and equipment. Heading 8516 is for electro-thermic appliances of a kind used for domestic purposes. Within this heading, 8516.79 covers 'Other' electro-thermic appliances not specified in previous subheadings. The statistical code 37 under 8516.79.00 is specifically for 'Steam/rice cookers', which precisely describes the product. An alternative is 8516.60.00 as a general 'cooker', or 8516.79.00 with statistical code 38 for 'Other' if it doesn't fit the 'rice cooker' description. The data does not indicate any available Tariff Concession Orders for these codes."
71,"pressure cooker 6L stainless steel",73239300,56,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=73239300,"73239900/54; 73239400/18",51.480591773986816,"The product is a 6L pressure cooker made of stainless steel. This is a household kitchen article. The best fit is in Chapter 73 for articles of iron or steel. Heading 7323 is for 'Table, kitchen or other household articles and parts thereof, of iron or steel'. The most accurate subheading is 7323.93.00, which specifically covers articles 'Of stainless steel'. The associated statistical code is 56. The chapter lookup indicated that a Tariff Concession Order may be available for this classification. Alternatives are provided under the same heading for other types of iron or steel kitchenware."
72,"air fryer 5.5L digital black",85166000,51,,"85166000/53; 85167900/38",53.13575792312622,"The product is an electro-thermic appliance for domestic use. Its primary function is cooking food by circulating hot air, which technically makes it a type of convection oven. Therefore, the most appropriate classification is under heading 8516, which covers such appliances. Specifically, subheading 8516.60 for ""Other ovens; cookers, cooking plates, boiling rings, grillers and roasters"" is the correct choice. Within this subheading, the statistical code 51 for ""Ovens"" accurately describes the appliance's function. While marketed as a ""fryer"", its operation is that of an oven. Alternative classifications are provided in other residual codes within the same heading and chapter but are considered less precise. No tariff concession orders were found to be applicable for these classifications."
73,"stand mixer 1000W 5L bowl red",85094000,42,,"85094000/43; 85098090/90",27.964354038238525,"The product is a stand mixer, which is an electro-mechanical domestic appliance with a self-contained electric motor. Chapter 85 covers electrical machinery and equipment. Specifically, heading 8509 is for 'Electro-mechanical domestic appliances, with self-contained electric motor'. Chapter Note 4(a) to Chapter 85 confirms that 'food grinders and mixers' of any weight fall under this heading. Subheading 8509.40 provides for 'Food grinders and mixers'. The statistical code 42 under this subheading is for 'Mixers', which accurately describes the goods. Therefore, 85094000 with statistical code 42 is the most appropriate classification."
74,"juicer slow masticating 200W",85094000,44,,"85094000/43; 85094000/42",42.40296196937561,"The product is an electro-mechanical domestic appliance with a self-contained electric motor, used for extracting juice from vegetables or fruit. Chapter Note 4(a) to Chapter 85 explicitly includes 'fruit or vegetable juice extractors' under heading 8509. The subheading 8509.40 covers these items, and the statistical code 44 provides the most specific description for 'Juice extractors'. Alternative classifications include 'Food processors' and 'Mixers' under the same subheading, as a juicer is a type of food processor and its masticating action is a form of mixing or grinding."
75,"coffee maker drip 12 cup programmable",85167100,33,,"85167100/34; 85167900/38",34.91515302658081,"The product is an electric coffee maker for domestic use. Chapter 85 covers electrical machinery and equipment. Heading 8516 specifically covers electro-thermic appliances of a kind used for domestic purposes. Within this heading, 8516.71 is the specific subheading for ""Coffee or tea makers"". The user's description of a ""drip"" coffee maker aligns directly with the statistical code 33 for ""Dripolators"". The alternative classifications account for other types of coffee makers under the same HS code or other electro-thermic appliances if the primary function was different. The lookup indicates no tariff concession orders are available for these classifications."
76,"espresso machine 15 bar with milk frother",85167100,34,,"85167100/33; 85167900/38",34.86196184158325,"The product is an espresso machine, which is an electro-thermic appliance for domestic use. Heading 8516 covers 'other electro-thermic appliances of a kind used for domestic purposes'. Within this heading, subheading 8516.71 specifically covers 'Coffee or tea makers'. An espresso machine is a type of coffee maker, but it is not a 'Dripolator' (stat code 33). Therefore, the most appropriate classification is under the 'Other' category for coffee makers, which is statistical code 34. The alternative codes represent either the incorrect type of coffee maker (dripolator) or a less specific category of other domestic electro-thermic appliances."
77,"vacuum cleaner stick cordless 25kPa",85081100,10,,"85081100/19; 85081900/90",48.53339099884033,"The product is a cordless stick vacuum cleaner with a self-contained electric motor. Based on the tariff chapter lookup for 8508, heading 8508.11 covers vacuum cleaners with a self-contained motor, of a power not exceeding 1,500W and a receptacle capacity not exceeding 20L, which is appropriate for a cordless stick vacuum. The most suitable statistical code is '10' for 'Upright', as a stick vacuum is a form of upright cleaner. An alternative is statistical code '19' for 'Other' under the same HS code. A second alternative, 85081900 90, is provided in the unlikely event the power exceeds 1500W."
78,"steam iron 2400W ceramic soleplate",85164000,29,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=85164000,"85167900/38; 85167900/35",35.991690158843994,"The product is an electro-thermic appliance for domestic use, specifically a steam iron. Chapter 85 covers electrical machinery and equipment. Heading 8516 provides for electro-thermic appliances for domestic purposes. Within this heading, subheading 8516.40.00 is the most specific description, covering 'Electric smoothing irons'. The statistical code 29 is applicable. The lookup indicates a Tariff Concession Order may be available for this classification. Alternative classifications are provided from the less specific 'Other' category (8516.79.00) for other domestic electro-thermic appliances."
79,"sewing machine computerized 200 stitches",84521000,10,,"84521000/15; 84522100/26",38.073047161102295,"The product is a computerized sewing machine, which points directly to Chapter 84 for machinery. Specifically, heading 8452 covers sewing machines. The description implies it is for home use, so it falls under subheading 8452.10 for 'Sewing machines of the household type'. Within this, the statistical code '10' for 'Sewing machines' is the most accurate description. An alternative is statistical code '15' for 'Other' household machines if it has unique features beyond standard sewing. A second alternative, 8452.21.00, would apply if the machine were considered an industrial 'Automatic unit', but 'household type' takes precedence based on the likely use. All rates are Free, and no tariff concession orders or Schedule 4 by-laws apply."
80,"humidifier ultrasonic 5L with filter",84798990,91,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=84798990,"85098090/90; 84158300/22",53.229187965393066,"The humidifier is a machine with a specific individual function (to humidify the air) that is not described elsewhere in Chapter 84. Therefore, it falls under the residual heading 8479 for machines with individual functions, not elsewhere specified or included. Heading 8415 for air conditioning machines is not appropriate as these must contain elements to change both temperature and humidity. Heading 8509 is for electro-mechanical domestic appliances, but based on explanatory notes, air humidifiers are excluded from this heading and are to be classified in 8479. The filter is an integral part of the machine and does not alter its classification."
81,"dehumidifier 20L day auto defrost",84158200,63,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=84158200,"84151000/37; 84798990/91",41.351202726364136,"The product is a dehumidifier, which is a machine that changes the humidity of the air and incorporates a refrigerating unit. Heading 8415 covers ""Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity"". Dehumidifiers are explicitly mentioned in the explanatory notes for this heading. Subheading 8415.82 specifically covers machines incorporating a refrigerating unit that are not of the wall/window type or reversible heat pumps, which accurately describes a portable dehumidifier. Alternative heading 8479 is for machines with individual functions not specified elsewhere; however, as per classification rules, the most specific heading (8415) is preferred. 8415.10 is a plausible alternative if the unit is considered a self-contained floor unit."
82,"space heater ceramic 2000W oscillating",85162900,90,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=85162900,"85162100/24; 85167900/38",44.64664912223816,"The product is an electric ceramic space heater. Based on the tariff schedule, Chapter 85 covers electrical machinery. Heading 8516 is the most appropriate as it specifically includes ""electric space heating apparatus"". Within this heading, the product is not a ""storage heating radiator"" (8516.21.00) but falls under the residual category for other types of space heaters in 8516.29.00. The statistical code 90 represents ""Other"" within this subheading. The lookup indicates that a Tariff Concession Order (TCO) may be available for this classification."
83,"fan tower 90cm remote 3 speed",84145100,01,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=84145100,"84145990/55; 84145920/52",57.4330689907074,"The product is an electric tower fan. Chapter 84 covers fans under heading 8414. Specifically, subheading 8414.51 is for 'Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 W'. A 90cm tower fan is a type of floor fan, and its motor output is assumed to be under the 125W threshold, making 84145100 the most appropriate classification. The primary alternative, 84145990, would apply if the motor's power output exceeded 125W. A less likely alternative is 84145920 for fans used to cool electronic apparatus."
84,"air purifier hepa 13 for room 50m2",84213990,16,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=84213990,"84145100/01; 84145990/55",45.885791063308716,"The primary function of the described good is to purify air. Following the classification principle of principal function (Section XVI, Note 3), heading 84.21, which covers 'filtering or purifying machinery and apparatus for liquids or gases', is the most appropriate. The item is a machine for purifying gas (air). As it is not for an internal combustion engine, subheading 8421.39 'Other' applies. The final classification is 8421.39.90, as it does not meet the specific criteria of 8421.39.10. An alternative classification could be under 84.14 as a fan, but this is less accurate as the fan's purpose is secondary to the primary function of air purification."
85,"bicycle helmet adult size m matte black",65061000,33,,"65069190/22; 65069990/23",38.88158893585205,"The product is a bicycle helmet, which is a form of safety headgear. Chapter 65 covers headgear and its parts. Chapter Note 1(g) for Chapter 95 (Toys, games and sports requisites) explicitly excludes sports headgear, directing it to Chapter 65. Within Chapter 65, heading 6506 is for 'Other headgear, whether or not lined or trimmed'. The specific subheading for safety headgear is 6506.10.00. As a bicycle helmet is not a motorcyclist's helmet, it falls under the statistical code 33 for 'Other, including industrial'. The alternatives are less specific as they classify the item by material rather than its primary function as safety headgear."
86,"bike lock u lock heavy duty with cable",83011000,01,https://www.abf.gov.au/tariff-classification-subsite/Pages/TariffConcessionOrders.aspx?tcn=83011000,"83014000/31; 83016000/07",53.108092069625854,"The user's product is a heavy-duty U-lock with a cable, designed for securing a bicycle. The primary function is provided by the U-lock, which is a type of padlock made of base metal. According to the Harmonized System, articles of heading 83.01 (which includes padlocks) are excluded from classification as vehicle accessories in Chapter 87. Therefore, the lock must be classified under Chapter 83. The most specific heading is 8301.10.00 for 'Padlocks'. The accompanying cable is considered an ancillary part of a set, and the classification is determined by the lock's essential character. Alternative classifications include 'Other locks' under 8301.40.00 or 'Parts' under 8301.60.00, although these are less precise."
